city,cases_2021,cases_2022,cases_2023,population_lakhs,rate_total,chargesheet_rate,kidnap_abduct,rape,assault_354,insult_509,total_ipc,total_sll,total_crimes,rate_all,street_crime,street_crime_rate,street_share_pct,rape_rate,kidnap_rate,assault_rate
Vasai Virar,845.0,1154.0,1191.0,5.7,208.3,69.4,371.0,112.0,255.0,37.0,916.0,275.0,1191.0,208.3,775.0,135.96491228070175,65.07136859781696,19.649122807017545,65.08771929824562,44.73684210526316
Jaipur,2827.0,3479.0,3872.0,14.5,266.3,54.6,632.0,573.0,732.0,0.0,3645.0,227.0,3872.0,266.3,1937.0,133.58620689655172,50.025826446280995,39.51724137931034,43.58620689655172,50.48275862068966
Jodhpur,1070.0,1380.0,1304.0,5.4,242.2,60.8,150.0,111.0,351.0,27.0,1119.0,185.0,1304.0,242.2,639.0,118.33333333333333,49.00306748466258,20.555555555555554,27.777777777777775,65.0
Kota,939.0,1090.0,1026.0,4.7,217.6,61.3,175.0,126.0,200.0,1.0,929.0,97.0,1026.0,217.6,502.0,106.80851063829788,48.927875243664715,26.80851063829787,37.234042553191486,42.5531914893617
Faridabad,1303.0,1213.0,1424.0,6.5,217.7,60.0,343.0,185.0,133.0,31.0,1188.0,236.0,1424.0,217.7,692.0,106.46153846153847,48.59550561797753,28.46153846153846,52.76923076923077,20.46153846153846
Vijayawada,1466.0,2366.0,2221.0,7.4,300.0,97.5,16.0,41.0,385.0,320.0,1956.0,265.0,2221.0,300.0,762.0,102.97297297297297,34.308869878433136,5.54054054054054,2.162162162162162,52.027027027027025
Bhopal,1442.0,2047.0,1886.0,9.0,210.0,74.8,494.0,202.0,200.0,21.0,1552.0,334.0,1886.0,210.0,917.0,101.88888888888889,48.621420996818664,22.444444444444443,54.888888888888886,22.22222222222222
Gwalior,1241.0,1128.0,1159.0,5.1,225.8,88.9,171.0,156.0,188.0,3.0,991.0,168.0,1159.0,225.8,518.0,101.5686274509804,44.69370146678171,30.58823529411765,33.529411764705884,36.86274509803922
Indore,1794.0,1809.0,1919.0,10.4,184.9,75.3,517.0,186.0,307.0,38.0,1583.0,336.0,1919.0,184.9,1048.0,100.76923076923076,54.6117769671704,17.884615384615383,49.71153846153846,29.519230769230766
Aurangabad,757.0,834.0,977.0,5.7,171.6,80.0,182.0,54.0,309.0,11.0,839.0,138.0,977.0,171.6,556.0,97.54385964912281,56.908904810644835,9.473684210526315,31.929824561403507,54.21052631578947
Delhi City,13982.0,14158.0,13366.0,75.8,176.4,69.9,3952.0,1088.0,1791.0,349.0,11620.0,1746.0,13366.0,176.4,7180.0,94.72295514511873,53.71838994463564,14.353562005277045,52.13720316622692,23.62796833773087
Lucknow,2161.0,2231.0,2902.0,13.8,209.9,68.4,708.0,151.0,298.0,13.0,2599.0,303.0,2902.0,209.9,1170.0,84.78260869565217,40.317022742935904,10.942028985507246,51.30434782608695,21.594202898550723
